File Name: 	eil101.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	242.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1157.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1080.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	2496.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	2264.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	2154.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	4957.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	4517.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	4318.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1263.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1170.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1103.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	3104.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2850.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	3114.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	6214.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	5687.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	6306.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	12240.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	11278.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	11723.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2533.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2324.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2247.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	6237.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5720.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	9590.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	12396.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	11399.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	14225.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	24475.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	22391.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	30365.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5155.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	4727.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	6514.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	12616.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	11568.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	19991.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	25132.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	22917.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	40657.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	49719.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	45380.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	81128.0ms
File Name: 	pr2392.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	3264.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	2897.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	2706.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	7845.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	7067.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	6455.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	15459.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	13955.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	13105.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	30715.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	27573.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	26188.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	8371.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	7948.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	7143.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	20007.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	18106.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	16798.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	38947.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	35180.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	33292.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	76747.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	69508.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	71368.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	16999.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	15861.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	15763.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	39735.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	36718.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	38896.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	78857.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	72298.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	67535.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	155524.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	140809.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	170269.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	35675.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	31938.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	33591.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	81869.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	74058.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	123815.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	162249.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	145090.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	276126.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	313867.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	284478.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	570077.0ms
File Name: 	st70.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	79.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	77.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	76.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	195.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	195.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	187.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	383.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	389.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	369.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	779.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	772.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	731.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	200.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	196.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	183.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	492.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	488.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	454.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	972.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	956.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	904.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1936.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1912.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1797.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	393.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	387.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	367.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	970.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	971.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	912.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1935.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1926.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1808.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	3822.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	3825.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	3584.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	774.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	780.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	745.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1934.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1941.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1878.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	3874.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	3868.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	3742.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	7761.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	7833.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	7514.0ms
